_id,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,geometry
424,GO-20093358995,1258866000000,2009,November,22,Sunday,326,D52,Shooting,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),-79.38769484642785,43.66565180475552,"{""coordinates"": [[-79.387694846, 43.665651805]], ""type"": ""MultiPoint""}"
425,GO-20093687835,1259816400000,2009,December,3,Thursday,337,D31,Shooting,028,Rustic (28),028,Rustic (28),-79.50470964373855,43.71573754643957,"{""coordinates"": [[-79.5047096439999, 43.7157375460001]], ""type"": ""MultiPoint""}"
426,GO-20093574569,1259989200000,2009,December,5,Saturday,339,D51,Other,074,North St.James Town (74),074,North St.James Town (74),-79.37376715504146,43.667288406453174,"{""coordinates"": [[-79.3737671549999, 43.6672884060001]], ""type"": ""MultiPoint""}"
427,GO-20093567900,1260075600000,2009,December,6,Sunday,340,D31,Shooting,021,Humber Summit (21),021,Humber Summit (21),-79.5680212186116,43.75679690814325,"{""coordinates"": [[-79.5680212189999, 43.7567969080001]], ""type"": ""MultiPoint""}"
428,GO-20093574814,1260162000000,2009,December,7,Monday,341,D31,Shooting,113,Weston (113),113,Weston (113),-79.5237688498353,43.70237796225946,"{""coordinates"": [[-79.52376885, 43.7023779620001]], ""type"": ""MultiPoint""}"
429,GO-20093565736,1260334800000,2009,December,9,Wednesday,343,D31,Shooting,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),-79.52302684239834,43.71772044775717,"{""coordinates"": [[-79.523026842, 43.7177204480001]], ""type"": ""MultiPoint""}"
430,GO-20093391807,1260680400000,2009,December,13,Sunday,347,D11,Stabbing,089,Runnymede-Bloor West Village (89),089,Runnymede-Bloor West Village (89),-79.49860110589502,43.665602147315624,"{""coordinates"": [[-79.498601106, 43.6656021470001]], ""type"": ""MultiPoint""}"
431,GO-20093591551,1261112400000,2009,December,18,Friday,352,D52,Other,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.39818293729688,43.658263599520744,"{""coordinates"": [[-79.3981829369999, 43.6582636]], ""type"": ""MultiPoint""}"
432,GO-20093543317,1262062800000,2009,December,29,Tuesday,363,D11,Shooting,090,Junction Area (90),090,Junction Area (90),-79.47887932054583,43.665560559366504,"{""coordinates"": [[-79.478879321, 43.665560559]], ""type"": ""MultiPoint""}"
433,GO-20103593574,1262408400000,2010,January,2,Saturday,2,D55,Other,068,North Riverdale (68),068,North Riverdale (68),-79.35432547060712,43.665070807413365,"{""coordinates"": [[-79.354325471, 43.6650708070001]], ""type"": ""MultiPoint""}"
434,GO-20103566324,1262840400000,2010,January,7,Thursday,7,D42,Shooting,146,Malvern East (146),132,Malvern (132),-79.21119838528946,43.8118543192951,"{""coordinates"": [[-79.211198385, 43.8118543190001]], ""type"": ""MultiPoint""}"
435,GO-20103583884,1264309200000,2010,January,24,Sunday,24,D14,Other,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.39815453465033,43.65026718943953,"{""coordinates"": [[-79.3981545349999, 43.650267189]], ""type"": ""MultiPoint""}"
436,GO-20103281627,1264568400000,2010,January,27,Wednesday,27,D41,Stabbing,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),-79.31706567146753,43.762031522365085,"{""coordinates"": [[-79.317065671, 43.762031522]], ""type"": ""MultiPoint""}"
437,GO-20103367693,1265173200000,2010,February,3,Wednesday,34,D51,Stabbing,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.37433745296883,43.66292210202585,"{""coordinates"": [[-79.374337453, 43.662922102]], ""type"": ""MultiPoint""}"
